num_items,time(s),algorithm
1500,0.011431599999999875,quicksort-midpivot
1500,0.01495429999999942,quicksort-randpivot
1600,0.0003170000000007889,builtin
1600,0.01394459999999853,mergesort-deques
1600,0.023650700000001024,mergesort-pointers
1600,0.010981400000000363,quicksort-midpivot
1600,0.0191751,quicksort-randpivot
1700,0.00031159999999985644,builtin
1700,0.016844400000000093,mergesort-deques
1700,0.024163200000000273,mergesort-pointers
1700,0.015960299999999705,quicksort-midpivot
1700,0.012706400000000784,quicksort-randpivot
1800,0.0005579999999998364,builtin
1800,0.030119699999998417,mergesort-deques
1800,0.03389800000000065,mergesort-pointers
1800,0.014310100000001214,quicksort-midpivot
1800,0.011583399999999244,quicksort-randpivot
1900,0.00030250000000009436,builtin
1900,0.019015800000000027,mergesort-deques
1900,0.029648200000000458,mergesort-pointers
1900,0.013755700000000814,quicksort-midpivot
1900,0.020355300000000298,quicksort-randpivot
2000,0.00042039999999943234,builtin
2000,0.020474200000000664,mergesort-deques
2000,0.024699800000000494,mergesort-pointers
2000,0.017412799999998896,quicksort-midpivot
2000,0.023607099999999548,quicksort-randpivot
2100,0.0003212000000001325,builtin
2100,0.028549899999999795,mergesort-deques
2100,0.03247140000000037,mergesort-pointers
2100,0.02114450000000012,quicksort-midpivot
2100,0.013673299999998889,quicksort-randpivot
2200,0.0003375000000005457,builtin
2200,0.028704000000001173,mergesort-deques
2200,0.041961500000001095,mergesort-pointers
2200,0.025090899999998584,quicksort-midpivot
2200,0.027287899999999254,quicksort-randpivot
2300,0.00050880000000042,builtin
2300,0.03732950000000024,mergesort-deques
2300,0.04208049999999908,mergesort-pointers
2300,0.027884600000000148,quicksort-midpivot
2300,0.026273500000000283,quicksort-randpivot
2400,0.0006804999999996397,builtin
2400,0.03641420000000117,mergesort-deques
2400,0.046913500000000496,mergesort-pointers
2400,0.03629510000000025,quicksort-midpivot
2400,0.03668780000000105,quicksort-randpivot
2500,0.0009731000000012813,builtin
2500,0.04338020000000142,mergesort-deques
2500,0.044748300000000185,mergesort-pointers
2500,0.030070499999999,quicksort-midpivot
2500,0.018609299999999607,quicksort-randpivot
2600,0.00046009999999974127,builtin
2600,0.023373199999999983,mergesort-deques
2600,0.032916100000001336,mergesort-pointers
2600,0.020379800000000614,quicksort-midpivot
2600,0.020633500000000637,quicksort-randpivot
2700,0.00041959999999896525,builtin
2700,0.034165399999999124,mergesort-deques
2700,0.0398960000000006,mergesort-pointers
2700,0.026309200000000033,quicksort-midpivot
2700,0.029641800000000273,quicksort-randpivot
2800,0.000499200000000144,builtin
2800,0.022943899999999573,mergesort-deques
2800,0.04330180000000006,mergesort-pointers
2800,0.03120050000000063,quicksort-midpivot
2800,0.02781210000000023,quicksort-randpivot
2900,0.0005068000000001405,builtin
2900,0.03567950000000053,mergesort-deques
2900,0.048787300000000755,mergesort-pointers
2900,0.021964699999999837,quicksort-midpivot
2900,0.022959199999998958,quicksort-randpivot
3000,0.00047809999999870456,builtin
3000,0.028214200000000744,mergesort-deques
3000,0.034408300000000835,mergesort-pointers
3000,0.02309600000000067,quicksort-midpivot
3000,0.024438299999999913,quicksort-randpivot
3100,0.0007186000000007908,builtin
3100,0.030520999999998466,mergesort-deques
3100,0.041200400000001025,mergesort-pointers
3100,0.027643799999999885,quicksort-midpivot
3100,0.02187570000000072,quicksort-randpivot
3200,0.000516599999999201,builtin
3200,0.021648599999998908,mergesort-deques
3200,0.043137800000000226,mergesort-pointers
3200,0.018043799999999166,quicksort-midpivot
3200,0.025124299999999877,quicksort-randpivot
3300,0.0012753000000014225,builtin
3300,0.02594140000000067,mergesort-deques
3300,0.0421087,mergesort-pointers
3300,0.021102400000000188,quicksort-midpivot
3300,0.02608250000000112,quicksort-randpivot
3400,0.0015479999999996608,builtin
3400,0.0234494999999999,mergesort-deques
3400,0.04965139999999835,mergesort-pointers
3400,0.022010899999999722,quicksort-midpivot
3400,0.024971900000000602,quicksort-randpivot
3500,0.0015518999999990513,builtin
3500,0.03795560000000009,mergesort-deques
3500,0.05355660000000029,mergesort-pointers
3500,0.02571400000000068,quicksort-midpivot
3500,0.025776900000000325,quicksort-randpivot
3600,0.0010384999999999422,builtin
3600,0.027264300000000574,mergesort-deques
3600,0.039500999999999564,mergesort-pointers
3600,0.021875400000000766,quicksort-midpivot
3600,0.03282790000000091,quicksort-randpivot
3700,0.0013915999999998263,builtin
3700,0.028011700000000417,mergesort-deques
3700,0.03922380000000025,mergesort-pointers
3700,0.029222199999999532,quicksort-midpivot
3700,0.033264299999999025,quicksort-randpivot
3800,0.0010313000000010675,builtin
3800,0.03863089999999936,mergesort-deques
3800,0.04696239999999996,mergesort-pointers
3800,0.029746600000001067,quicksort-midpivot
3800,0.030347400000000135,quicksort-randpivot
3900,0.001649399999999801,builtin
3900,0.03190069999999956,mergesort-deques
3900,0.046723399999999415,mergesort-pointers
3900,0.026641500000000207,quicksort-midpivot
3900,0.025063299999999344,quicksort-randpivot
4000,0.0019700000000000273,builtin
4000,0.029032800000001302,mergesort-deques
4000,0.04674949999999889,mergesort-pointers
4000,0.029395299999999125,quicksort-midpivot
4000,0.031078700000000126,quicksort-randpivot
4100,0.0017493000000001757,builtin
4100,0.03096969999999999,mergesort-deques
4100,0.04792540000000045,mergesort-pointers
4100,0.02736799999999917,quicksort-midpivot
4100,0.03338540000000023,quicksort-randpivot
4200,0.0013076000000005195,builtin
4200,0.03287249999999986,mergesort-deques
4200,0.04850699999999897,mergesort-pointers
4200,0.02868950000000048,quicksort-midpivot
4200,0.02931319999999893,quicksort-randpivot
4300,0.0015681999999994645,builtin
4300,0.035664000000000584,mergesort-deques
4300,0.05024560000000022,mergesort-pointers
4300,0.03526429999999969,quicksort-midpivot
4300,0.02918809999999894,quicksort-randpivot
4400,0.0017007000000006656,builtin
4400,0.033261399999998886,mergesort-deques
4400,0.0472646000000001,mergesort-pointers
4400,0.028955999999999094,quicksort-midpivot
4400,0.033662800000000104,quicksort-randpivot
4500,0.001329899999999995,builtin
4500,0.03558680000000081,mergesort-deques
4500,0.0480552000000003,mergesort-pointers
4500,0.02970459999999875,quicksort-midpivot
4500,0.033537000000000816,quicksort-randpivot
4600,0.0012988000000007105,builtin
4600,0.04039339999999925,mergesort-deques
4600,0.05604680000000073,mergesort-pointers
4600,0.03498659999999987,quicksort-midpivot
4600,0.031350699999999065,quicksort-randpivot
4700,0.0022166999999999604,builtin
4700,0.03647489999999998,mergesort-deques
4700,0.04674620000000118,mergesort-pointers
4700,0.03505340000000068,quicksort-midpivot
4700,0.03310920000000017,quicksort-randpivot
4800,0.0018080999999998681,builtin
4800,0.033908099999999664,mergesort-deques
4800,0.05396189999999912,mergesort-pointers
4800,0.03153999999999968,quicksort-midpivot
4800,0.03787560000000134,quicksort-randpivot
4900,0.002245600000000181,builtin
4900,0.04528589999999966,mergesort-deques
4900,0.05610800000000005,mergesort-pointers
4900,0.03550899999999935,quicksort-midpivot
4900,0.040189800000000275,quicksort-randpivot
5000,0.002411299999998562,builtin
5000,0.05184920000000126,mergesort-deques
5000,0.07408550000000069,mergesort-pointers
5000,0.04973049999999901,quicksort-midpivot
5000,0.03173530000000113,quicksort-randpivot
5100,0.0014659000000012412,builtin
5100,0.034086300000000236,mergesort-deques
5100,0.052101499999999135,mergesort-pointers
5100,0.04106349999999992,quicksort-midpivot
5100,0.033453299999999686,quicksort-randpivot
5200,0.0015397000000003658,builtin
5200,0.042531499999999056,mergesort-deques
5200,0.06313299999999877,mergesort-pointers
5200,0.03844630000000038,quicksort-midpivot
5200,0.03663979999999967,quicksort-randpivot
5300,0.0016563999999998913,builtin
5300,0.04381349999999884,mergesort-deques
5300,0.0567107,mergesort-pointers
5300,0.041202300000000136,quicksort-midpivot
5300,0.03685890000000036,quicksort-randpivot
5400,0.0018329000000001372,builtin
5400,0.03781580000000062,mergesort-deques
5400,0.059311000000001,mergesort-pointers
5400,0.03539220000000043,quicksort-midpivot
5400,0.05109460000000077,quicksort-randpivot
5500,0.0040810000000011115,builtin
5500,0.04337509999999867,mergesort-deques
5500,0.06450460000000113,mergesort-pointers
5500,0.03447940000000038,quicksort-midpivot
5500,0.03638289999999955,quicksort-randpivot
5600,0.0016814000000007212,builtin
5600,0.04542059999999992,mergesort-deques
5600,0.06064079999999983,mergesort-pointers
5600,0.03881509999999899,quicksort-midpivot
5600,0.04516190000000009,quicksort-randpivot
5700,0.0022671000000009656,builtin
5700,0.04153339999999872,mergesort-deques
5700,0.06806360000000033,mergesort-pointers
5700,0.058663099999998636,quicksort-midpivot
5700,0.04678350000000009,quicksort-randpivot
5800,0.0025069000000002006,builtin
5800,0.039575700000000325,mergesort-deques
5800,0.06776909999999958,mergesort-pointers
5800,0.047881000000000284,quicksort-midpivot
5800,0.03725709999999971,quicksort-randpivot
5900,0.0017966000000004811,builtin
5900,0.04020720000000111,mergesort-deques
5900,0.0641562000000011,mergesort-pointers
5900,0.042612099999999486,quicksort-midpivot
5900,0.042371499999999784,quicksort-randpivot
6000,0.0019122000000013628,builtin
6000,0.04590950000000049,mergesort-deques
6000,0.07375950000000131,mergesort-pointers
6000,0.03748979999999946,quicksort-midpivot
6000,0.0394836999999999,quicksort-randpivot
6100,0.0020345999999999975,builtin
6100,0.04692129999999928,mergesort-deques
6100,0.06395370000000078,mergesort-pointers
6100,0.04462930000000043,quicksort-midpivot
6100,0.040703600000000506,quicksort-randpivot
6200,0.0018226000000005627,builtin
6200,0.05246359999999939,mergesort-deques
6200,0.06845500000000015,mergesort-pointers
6200,0.04538140000000013,quicksort-midpivot
6200,0.04304789999999947,quicksort-randpivot
6300,0.002412899999999496,builtin
6300,0.05177349999999947,mergesort-deques
6300,0.08061220000000091,mergesort-pointers
6300,0.04195879999999974,quicksort-midpivot
6300,0.049624800000000135,quicksort-randpivot
6400,0.0025589000000003637,builtin
6400,0.049049199999998905,mergesort-deques
6400,0.06945139999999839,mergesort-pointers
6400,0.0469387999999995,quicksort-midpivot
6400,0.04565290000000033,quicksort-randpivot
6500,0.0021944999999981007,builtin
6500,0.04899599999999893,mergesort-deques
6500,0.0768999000000008,mergesort-pointers
6500,0.040604499999997046,quicksort-midpivot
6500,0.05115229999999826,quicksort-randpivot
6600,0.0025323000000021523,builtin
6600,0.04953559999999868,mergesort-deques
6600,0.07058680000000095,mergesort-pointers
6600,0.043435699999999855,quicksort-midpivot
6600,0.04634420000000006,quicksort-randpivot
6700,0.0021778999999995108,builtin
6700,0.05183640000000267,mergesort-deques
6700,0.0945929999999997,mergesort-pointers
6700,0.06318530000000067,quicksort-midpivot
6700,0.0444583999999999,quicksort-randpivot
6800,0.002242700000000042,builtin
6800,0.05555830000000128,mergesort-deques
6800,0.07236459999999667,mergesort-pointers
6800,0.045158099999998313,quicksort-midpivot
6800,0.04502600000000001,quicksort-randpivot
6900,0.0023532000000017206,builtin
6900,0.04884389999999783,mergesort-deques
6900,0.07157009999999886,mergesort-pointers
6900,0.046897500000000036,quicksort-midpivot
6900,0.05317750000000032,quicksort-randpivot
7000,0.002150799999999009,builtin
7000,0.0680966000000005,mergesort-deques
7000,0.0776734999999995,mergesort-pointers
7000,0.050679200000001146,quicksort-midpivot
7000,0.05990990000000096,quicksort-randpivot
7100,0.0026788999999993734,builtin
7100,0.06854429999999923,mergesort-deques
7100,0.08442679999999925,mergesort-pointers
7100,0.049830299999999994,quicksort-midpivot
7100,0.04454820000000126,quicksort-randpivot
7200,0.002461100000001437,builtin
7200,0.05225689999999972,mergesort-deques
7200,0.09057010000000076,mergesort-pointers
7200,0.04903269999999793,quicksort-midpivot
7200,0.0543003000000013,quicksort-randpivot
7300,0.0024167999999988865,builtin
7300,0.04723289999999736,mergesort-deques
7300,0.0755847999999979,mergesort-pointers
7300,0.050856499999998306,quicksort-midpivot
7300,0.05957509999999999,quicksort-randpivot
7400,0.0032675999999973726,builtin
7400,0.048648399999997594,mergesort-deques
7400,0.08658880000000124,mergesort-pointers
7400,0.05641960000000168,quicksort-midpivot
7400,0.054972500000001645,quicksort-randpivot
7500,0.0036714000000017677,builtin
7500,0.056944500000000176,mergesort-deques
7500,0.07700779999999696,mergesort-pointers
7500,0.05141370000000123,quicksort-midpivot
7500,0.05564509999999956,quicksort-randpivot
7600,0.003508199999998851,builtin
7600,0.05066000000000059,mergesort-deques
7600,0.08005310000000065,mergesort-pointers
7600,0.054328500000000446,quicksort-midpivot
7600,0.05598420000000104,quicksort-randpivot
7700,0.0030749999999990507,builtin
7700,0.05194039999999944,mergesort-deques
7700,0.08797750000000093,mergesort-pointers
7700,0.051835600000000426,quicksort-midpivot
7700,0.053072099999997846,quicksort-randpivot
7800,0.0024244000000024357,builtin
7800,0.0513791000000019,mergesort-deques
7800,0.10194530000000057,mergesort-pointers
7800,0.053522099999998574,quicksort-midpivot
7800,0.05491379999999779,quicksort-randpivot
7900,0.0029596000000005063,builtin
7900,0.0594664999999992,mergesort-deques
7900,0.08894639999999754,mergesort-pointers
7900,0.051147500000002566,quicksort-midpivot
7900,0.0513444000000014,quicksort-randpivot
8000,0.003080300000000591,builtin
8000,0.05898550000000213,mergesort-deques
8000,0.08137510000000248,mergesort-pointers
8000,0.056933999999998264,quicksort-midpivot
8000,0.05344310000000263,quicksort-randpivot
8100,0.0037367999999986523,builtin
8100,0.07106170000000134,mergesort-deques
8100,0.0862406,mergesort-pointers
8100,0.0552905999999993,quicksort-midpivot
8100,0.05815670000000139,quicksort-randpivot
8200,0.002555399999998542,builtin
8200,0.05425019999999847,mergesort-deques
8200,0.09180659999999818,mergesort-pointers
8200,0.054413900000000126,quicksort-midpivot
8200,0.053870699999997385,quicksort-randpivot
8300,0.0025551999999997577,builtin
8300,0.05531050000000093,mergesort-deques
8300,0.08480139999999992,mergesort-pointers
8300,0.05366920000000164,quicksort-midpivot
8300,0.05445320000000109,quicksort-randpivot
8400,0.002648600000000556,builtin
8400,0.060029999999997585,mergesort-deques
8400,0.09833529999999868,mergesort-pointers
8400,0.0542402000000024,quicksort-midpivot
8400,0.05361899999999764,quicksort-randpivot
8500,0.002793900000000349,builtin
8500,0.061934699999998344,mergesort-deques
8500,0.09946490000000097,mergesort-pointers
8500,0.05393109999999979,quicksort-midpivot
8500,0.057706299999999544,quicksort-randpivot
8600,0.0027314999999994427,builtin
8600,0.060376899999997846,mergesort-deques
8600,0.09126450000000119,mergesort-pointers
8600,0.057406199999999075,quicksort-midpivot
8600,0.060855400000001225,quicksort-randpivot
8700,0.0027487999999991075,builtin
8700,0.05535030000000063,mergesort-deques
8700,0.10077649999999849,mergesort-pointers
8700,0.07354330000000076,quicksort-midpivot
8700,0.06903760000000148,quicksort-randpivot
8800,0.0027250000000016428,builtin
8800,0.058050099999999105,mergesort-deques
8800,0.09547480000000164,mergesort-pointers
8800,0.061466400000000476,quicksort-midpivot
8800,0.06940540000000084,quicksort-randpivot
8900,0.0027559000000003664,builtin
8900,0.05755360000000209,mergesort-deques
8900,0.09985500000000158,mergesort-pointers
8900,0.06750650000000036,quicksort-midpivot
8900,0.0633657999999997,quicksort-randpivot
9000,0.0044297000000028675,builtin
9000,0.08378430000000137,mergesort-deques
9000,0.1171401000000003,mergesort-pointers
9000,0.06693800000000039,quicksort-midpivot
9000,0.06841280000000083,quicksort-randpivot
9100,0.002943099999999532,builtin
9100,0.061097600000000085,mergesort-deques
9100,0.11052529999999905,mergesort-pointers
9100,0.07032639999999901,quicksort-midpivot
9100,0.06780170000000041,quicksort-randpivot
9200,0.0029359000000006574,builtin
9200,0.06385660000000115,mergesort-deques
9200,0.09912150000000253,mergesort-pointers
9200,0.06646270000000243,quicksort-midpivot
9200,0.0770608000000017,quicksort-randpivot
9300,0.003943499999998323,builtin
9300,0.07717129999999983,mergesort-deques
9300,0.12808749999999947,mergesort-pointers
9300,0.07112629999999953,quicksort-midpivot
9300,0.07741989999999888,quicksort-randpivot
9400,0.005242599999998987,builtin
9400,0.08352730000000008,mergesort-deques
9400,0.11563740000000067,mergesort-pointers
9400,0.07635709999999918,quicksort-midpivot
9400,0.0679653000000009,quicksort-randpivot
9500,0.00318460000000087,builtin
9500,0.08075210000000155,mergesort-deques
9500,0.11821079999999995,mergesort-pointers
9500,0.08182509999999965,quicksort-midpivot
9500,0.07791789999999921,quicksort-randpivot
9600,0.0032770999999982564,builtin
9600,0.07972390000000118,mergesort-deques
9600,0.11881019999999864,mergesort-pointers
9600,0.07574389999999909,quicksort-midpivot
9600,0.08124309999999824,quicksort-randpivot
9700,0.0032615999999983103,builtin
9700,0.07997140000000158,mergesort-deques
9700,0.11138779999999926,mergesort-pointers
9700,0.08064579999999921,quicksort-midpivot
9700,0.07628589999999846,quicksort-randpivot
9800,0.0032087999999994565,builtin
9800,0.08082369999999983,mergesort-deques
9800,0.1531008000000007,mergesort-pointers
9800,0.07960639999999941,quicksort-midpivot
9800,0.07585410000000081,quicksort-randpivot
9900,0.006832400000000405,builtin
9900,0.0825322999999969,mergesort-deques
9900,0.13070319999999924,mergesort-pointers
9900,0.0801973000000018,quicksort-midpivot
9900,0.06903830000000255,quicksort-randpivot
10000,0.004258899999999954,builtin
10000,0.08119999999999905,mergesort-deques
10000,0.11527509999999808,mergesort-pointers
10000,0.07843439999999902,quicksort-midpivot
10000,0.0777707999999997,quicksort-randpivot
10100,0.004143299999999073,builtin
10100,0.07576809999999767,mergesort-deques
10100,0.14778910000000067,mergesort-pointers
10100,0.08166050000000169,quicksort-midpivot
10100,0.09271549999999706,quicksort-randpivot
10200,0.003924800000000062,builtin
10200,0.08704260000000019,mergesort-deques
10200,0.12722559999999916,mergesort-pointers
10200,0.08812650000000133,quicksort-midpivot
10200,0.07499689999999859,quicksort-randpivot
10300,0.005545600000001372,builtin
10300,0.08424660000000017,mergesort-deques
10300,0.12853429999999832,mergesort-pointers
10300,0.07970699999999908,quicksort-midpivot
10300,0.08855909999999767,quicksort-randpivot
10400,0.0033577000000022394,builtin
10400,0.08427560000000156,mergesort-deques
10400,0.12276789999999949,mergesort-pointers
10400,0.08432179999999789,quicksort-midpivot
10400,0.08203100000000063,quicksort-randpivot
10500,0.003498499999999183,builtin
10500,0.0907252000000014,mergesort-deques
10500,0.13393290000000135,mergesort-pointers
10500,0.08123159999999885,quicksort-midpivot
10500,0.08138240000000252,quicksort-randpivot
10600,0.0036053000000002555,builtin
10600,0.08395699999999806,mergesort-deques
10600,0.14825090000000074,mergesort-pointers
10600,0.08635519999999985,quicksort-midpivot
10600,0.08337800000000328,quicksort-randpivot
10700,0.0057261000000004,builtin
10700,0.08661130000000128,mergesort-deques
